Temps	EA0
0	-0.00402069091796875
0.001	0.0964989941567183
0.002	0.0110572618432343
0.003	0.0261352146044374
0.004	0.021109230350703
0.005	0.0261352146044374
0.006	0.021109230350703
0.007	0.0261352146044374
0.008	0.0261352146044374
0.009	0.0864470256492496
0.01	0.0010052933357656
0.011	0.0110572618432343
0.012	0.0110572618432343
0.013	0.0110572618432343
0.014	0.0462391516193748
0.015	0.021109230350703
0.016	0.00603127758949995
0.017	-0.0392025806941092
0.018	0.0512651358731091
0.019	-0.00402069091796875
0.02	0.0864470256492496
0.021	0.0311611988581717
0.022	0.0110572618432343
0.023	0.0160832460969687
0.024	0.0512651358731091
0.025	0.021109230350703
0.026	0.0311611988581717
0.027	0.0412131673656404
0.028	0.0160832460969687
0.029	0.0462391516193748
0.03	0.0311611988581717
0.031	0.021109230350703
0.032	0.021109230350703
0.033	0.021109230350703
0.034	0.0311611988581717
0.035	0.021109230350703
0.036	0.0261352146044374
0.037	0.111576946917921
0.038	0.0412131673656404
0.039	0.0160832460969687
0.04	0.0964989941567183
0.041	0.101524978410453
0.042	0.0361871831119061
0.043	0.0361871831119061
0.044	0.0914730099029839
0.045	0.0160832460969687
0.046	0.0160832460969687
0.047	0.00603127758949995
0.048	0.0160832460969687
0.049	0.0713690728880465
0.05	0.0261352146044374
0.051	0.00603127758949995
0.052	0.0412131673656404
0.053	0.0160832460969687
0.054	0.0462391516193748
0.055	0.00603127758949995
0.056	0.021109230350703
0.057	0.0160832460969687
0.058	0.0160832460969687
0.059	-0.0291506121866405
0.06	0.0160832460969687
0.061	0.0110572618432343
0.062	0.0160832460969687
0.063	0.021109230350703
0.064	0.0462391516193748
0.065	0.0110572618432343
0.066	0.0261352146044374
0.067	0.0110572618432343
0.068	0.021109230350703
0.069	0.0261352146044374
0.07	0.0412131673656404
0.071	0.0361871831119061
0.072	0.176914742216468
0.073	0.43323993915692
0.074	0.890604506246746
0.075	1.62439820729196
0.076	2.61954308953136
0.077	3.7956234049052
0.078	5.10740529512987
0.079	5.2883407282643
0.08	5.33357458654791
0.081	5.34865253930911
0.082	5.34865253930911
0.083	5.35870450781658
0.084	5.35367852356285
0.085	5.35870450781658
0.086	5.35870450781658
0.087	5.36875647632405
0.088	5.35367852356285
0.089	5.35367852356285
0.09	5.34865253930911
0.091	5.34362655505538
0.092	5.32854860229418
0.093	5.31347064953297
0.094	5.27828875975683
0.095	5.13253521639854
0.096	4.2781178932637
0.097	3.39354466460645
0.098	2.49891946744174
0.099	1.6445021443069
0.1	0.775006868410856
0.101	0.131680883932859
0.102	0.0311611988581717
0.103	0.0261352146044374
0.104	0.0261352146044374
0.105	0.0311611988581717
0.106	-0.0492545492015779
0.107	0.0261352146044374
0.108	0.0964989941567183
0.109	0.021109230350703
0.11	0.00603127758949995
0.111	0.021109230350703
0.112	0.0110572618432343
0.113	0.0261352146044374
0.114	-0.00402069091796875
0.115	0.0361871831119061
0.116	0.0311611988581717
0.117	0.021109230350703
0.118	0.021109230350703
0.119	0.0261352146044374
0.12	0.0412131673656404
0.121	0.0462391516193748
0.122	0.0361871831119061
0.123	0.0261352146044374
0.124	0.0412131673656404
0.125	-0.0341765964403749
0.126	0.021109230350703
0.127	0.0361871831119061
0.128	0.021109230350703
0.129	0.021109230350703
0.13	0.0261352146044374
0.131	0.0261352146044374
0.132	0.0160832460969687
0.133	0.021109230350703
0.134	0.021109230350703
0.135	-0.0442285649478436
0.136	0.0160832460969687
0.137	0.0311611988581717
0.138	0.00603127758949995
0.139	0.021109230350703
0.14	0.0562911201268435
0.141	0.0462391516193748
0.142	-0.0291506121866405
0.143	0.021109230350703
0.144	0.021109230350703
0.145	0.0261352146044374
0.146	0.0261352146044374
0.147	0.021109230350703
0.148	-0.00402069091796875
0.149	0.00603127758949995
0.15	0.00603127758949995
0.151	0.0311611988581717
0.152	0.0160832460969687
0.153	0.0261352146044374
0.154	-0.0291506121866405
0.155	0.0160832460969687
0.156	0.0613171043805778
0.157	0.0110572618432343
0.158	0.021109230350703
0.159	0.0914730099029839
0.16	0.0160832460969687
0.161	0.021109230350703
0.162	0.0110572618432343
0.163	0.021109230350703
0.164	0.0311611988581717
0.165	0.021109230350703
0.166	0.0361871831119061
0.167	0.021109230350703
0.168	0.0261352146044374
0.169	-0.00402069091796875
0.17	0.021109230350703
0.171	0.0261352146044374
0.172	0.0361871831119061
0.173	0.0763950571417809
0.174	0.021109230350703
0.175	0.0311611988581717
0.176	0.0010052933357656
0.177	0.0763950571417809
0.178	0.0261352146044374
0.179	-0.064332501962781
0.18	0.0261352146044374
0.181	0.0311611988581717
0.182	0.0010052933357656
0.183	0.0160832460969687
0.184	0.021109230350703
0.185	0.0261352146044374
0.186	0.021109230350703
0.187	0.021109230350703
0.188	0.021109230350703
0.189	0.0261352146044374
0.19	0.0160832460969687
0.191	0.021109230350703
0.192	0.0110572618432343
0.193	0.0361871831119061
0.194	0.021109230350703
0.195	0.021109230350703
0.196	0.0010052933357656
0.197	0.0412131673656404
0.198	0.0713690728880465
0.199	0.197018679231405
0.2	0.523707655724138
0.201	1.08661789214239
0.202	1.97621710505337
0.203	3.23271316848695
0.204	4.72040450759232
0.205	5.28331474401057
0.206	5.33860057080165
0.207	5.34865253930911
0.208	5.35367852356285
0.209	5.36373049207032
0.21	5.37378246057779
0.211	5.37378246057779
0.212	5.36373049207032
0.213	5.37378246057779
0.214	5.37378246057779
0.215	5.36875647632405
0.216	5.36373049207032
0.217	5.36875647632405
0.218	5.36373049207032
0.219	5.35367852356285
0.22	5.34865253930911
0.221	5.32352261804044
0.222	5.30341868102551
0.223	4.99683364154771
0.224	3.7956234049052
0.225	2.61451710527763
0.226	1.4836706481874
0.227	0.382980096619576
0.228	0.0512651358731091
0.229	0.0562911201268435
0.23	0.021109230350703
0.231	0.0160832460969687
0.232	0.0160832460969687
0.233	0.021109230350703
0.234	0.0311611988581717
0.235	0.0462391516193748
0.236	0.0261352146044374
0.237	0.0110572618432343
0.238	0.0261352146044374
0.239	0.0361871831119061
0.24	0.0412131673656404
0.241	0.0361871831119061
0.242	0.116602931171656
0.243	-0.0190986436791718
0.244	0.021109230350703
0.245	0.0261352146044374
0.246	0.021109230350703
0.247	0.0110572618432343
0.248	0.0110572618432343
0.249	0.00603127758949995
0.25	0.0412131673656404
0.251	-0.079410454723984
0.252	0.0663430886343122
0.253	-0.0492545492015779
0.254	0.0311611988581717
0.255	0.0462391516193748
0.256	0.0160832460969687
0.257	0.021109230350703
0.258	0.0311611988581717
0.259	0.0361871831119061
0.26	0.021109230350703
0.261	0.0160832460969687
0.262	0.151784820947796
0.263	0.0261352146044374
0.264	0.0160832460969687
0.265	0.0261352146044374
0.266	0.0261352146044374
0.267	0.00603127758949995
0.268	0.0261352146044374
0.269	0.0361871831119061
0.27	-0.0844364389777184
0.271	0.0261352146044374
0.272	0.0713690728880465
0.273	0.0261352146044374
0.274	0.0613171043805778
0.275	0.021109230350703
0.276	0.021109230350703
0.277	0.0412131673656404
0.278	0.0261352146044374
0.279	0.021109230350703
0.28	0.0160832460969687
0.281	0.021109230350703
0.282	0.0261352146044374
0.283	0.0261352146044374
0.284	0.0010052933357656
0.285	0.0261352146044374
0.286	0.0110572618432343
0.287	0.0361871831119061
0.288	0.021109230350703
0.289	0.021109230350703
0.29	-0.00402069091796875
0.291	0.0160832460969687
0.292	0.0412131673656404
0.293	-0.0190986436791718
0.294	0.0160832460969687
0.295	0.021109230350703
0.296	0.0613171043805778
0.297	0.021109230350703
0.298	0.021109230350703
0.299	-0.0241246279329062
0.3	0.0663430886343122
0.301	-0.0542805334553123
0.302	0.0261352146044374
0.303	0.0663430886343122
0.304	0.0160832460969687
0.305	0.021109230350703
0.306	0.0160832460969687
0.307	0.021109230350703
0.308	0.021109230350703
0.309	-0.00402069091796875
0.31	0.0311611988581717
0.311	0.0311611988581717
0.312	-0.0190986436791718
0.313	0.021109230350703
0.314	0.021109230350703
0.315	0.0462391516193748
0.316	0.0311611988581717
0.317	0.0412131673656404
0.318	0.0361871831119061
0.319	0.021109230350703
0.32	0.0261352146044374
0.321	0.0562911201268435
0.322	0.0613171043805778
0.323	0.0261352146044374
0.324	0.0160832460969687
0.325	0.0261352146044374
0.326	0.0311611988581717
0.327	0.0261352146044374
0.328	0.0261352146044374
0.329	0.0261352146044374
0.33	0.0462391516193748
0.331	0.0261352146044374
0.332	0.0512651358731091
0.333	0.136706868186593
0.334	0.357850175350904
0.335	0.709669073112309
0.336	1.37309899460524
0.337	2.29788009729236
0.338	3.46893442841247
0.339	4.83600214542821
0.34	5.2883407282643
0.341	5.33357458654791
0.342	5.34362655505538
0.343	5.35870450781658
0.344	5.36373049207032
0.345	5.36373049207032
0.346	5.36373049207032
0.347	5.35870450781658
0.348	5.36373049207032
0.349	5.36373049207032
0.35	5.35870450781658
0.351	5.35870450781658
0.352	5.34865253930911
0.353	5.34865253930911
0.354	5.32854860229418
0.355	5.32854860229418
0.356	5.30844466527924
0.357	5.26823679124936
0.358	4.81589820841327
0.359	3.86598718445748
0.36	2.92612812900916
0.361	1.9661651365459
0.362	1.0162541125901
0.363	0.242252537515014
0.364	0.0412131673656404
0.365	0.0160832460969687
0.366	0.00603127758949995
0.367	0.0311611988581717
0.368	0.0261352146044374
0.369	0.021109230350703
0.37	0.0261352146044374
0.371	0.0110572618432343
0.372	0.0613171043805778
0.373	0.021109230350703
0.374	0.021109230350703
0.375	0.0763950571417809
0.376	0.021109230350703
0.377	0.101524978410453
0.378	0.0261352146044374
0.379	0.0160832460969687
0.38	0.0160832460969687
0.381	0.021109230350703
0.382	0.0160832460969687
0.383	0.021109230350703
0.384	0.021109230350703
0.385	0.0462391516193748
0.386	0.0412131673656404
0.387	0.0160832460969687
0.388	0.0261352146044374
0.389	0.0160832460969687
0.39	0.021109230350703
0.391	0.0361871831119061
0.392	0.0462391516193748
0.393	-0.0190986436791718
0.394	0.0160832460969687
0.395	0.0713690728880465
0.396	0.0261352146044374
0.397	-0.00402069091796875
0.398	0.0713690728880465
0.399	-0.00402069091796875
0.4	0.0361871831119061
0.401	0.0160832460969687
0.402	0.0261352146044374
0.403	0.0160832460969687
0.404	0.0361871831119061
0.405	0.021109230350703
0.406	0.0110572618432343
0.407	0.021109230350703
0.408	0.0160832460969687
0.409	-0.0693584862165153
0.41	0.0361871831119061
0.411	0.0412131673656404
0.412	0.0562911201268435
0.413	0.0261352146044374
0.414	0.0160832460969687
0.415	0.0261352146044374
0.416	0.0361871831119061
0.417	0.0311611988581717
0.418	0.0110572618432343
0.419	0.021109230350703
0.42	0.0261352146044374
0.421	0.0261352146044374
0.422	0.0311611988581717
0.423	-0.0140726594254375
0.424	0.0160832460969687
0.425	-0.0090466751717031
0.426	0.0311611988581717
0.427	0.0462391516193748
0.428	0.021109230350703
0.429	0.0462391516193748
0.43	0.0110572618432343
0.431	0.0261352146044374
0.432	0.0311611988581717
0.433	0.0160832460969687
0.434	0.0261352146044374
0.435	0.0261352146044374
0.436	0.0311611988581717
0.437	0.0613171043805778
0.438	0.021109230350703
0.439	0.0311611988581717
0.44	-0.0090466751717031
0.441	0.0412131673656404
0.442	0.00603127758949995
0.443	-0.00402069091796875
0.444	0.0261352146044374
0.445	0.0914730099029839
0.446	0.0110572618432343
0.447	0.0613171043805778
